algorithm,size,dataset,mean_energy,std_energy,mean_runtime,std_runtime,count,cv_energy,cv_runtime,upper_bound_energy,lower_bound_energy,upper_bound_runtime,lower_bound_runtime
bubble_sort,1000,almost_sorted,0.6709449546159882,0.04473879747199453,0.01915165206139036,0.0012807262059395374,40,0.06668028005009821,0.06687288395978513,0.7156837520879827,0.6262061571439937,0.020432378267329895,0.017870925855450824
bubble_sort,1000,reverse_sorted,1.4193605902702042,0.11966762379721291,0.0403613430965813,0.0031368504842921954,40,0.0843109387547753,0.07771917987927152,1.5390282140674172,1.2996929664729913,0.04349819358087349,0.037224492612289106
bubble_sort,1000,sorted,0.6573681615103479,0.043473228784669526,0.01876668101329602,0.0012505098260300032,40,0.06613223963385575,0.06663457566865598,0.7008413902950175,0.6138949327256784,0.020017190839326023,0.01751617118726602
bubble_sort,1000,unsorted,1.1338030963802408,0.09147270017335654,0.03223459976879764,0.0023369633418943436,40,0.08067776535925032,0.07249859959969074,1.2252757965535974,1.0423303962068842,0.03457156311069198,0.029897636426903296
bubble_sort,10000,almost_sorted,77.17707512250081,7.4275305647496355,2.205116009474986,0.2146261478494517,40,0.09624011473562769,0.0973310006944042,84.60460568725044,69.74954455775118,2.4197421573244378,1.9904898616255342
bubble_sort,10000,reverse_sorted,162.47459692812777,13.368836057782964,4.647368969325027,0.38577958806523155,40,0.08228262331801199,0.08301032059463558,175.84343298591074,149.1057608703448,5.033148557390258,4.261589381259795
bubble_sort,10000,sorted,76.74958698868772,6.620507996999273,2.193321909712509,0.1907915886778995,40,0.0862611547079085,0.08698749956995945,83.370094985687,70.12907899168844,2.3841134983904086,2.0025303210346093
bubble_sort,10000,unsorted,125.12767900912539,9.234794405659922,3.5777527674000025,0.26634788360662115,40,0.07380297052410316,0.07444558104560688,134.3624734147853,115.89288460346546,3.844100651006624,3.311404883793381
insertion_sort,1000,almost_sorted,0.4189719277528262,0.03139986132091981,0.01195933303154531,0.0008990805895072458,40,0.07494502433452835,0.07517815476295606,0.45037178907374603,0.3875720664319064,0.012858413621052556,0.011060252442038065
insertion_sort,1000,reverse_sorted,0.46187044274176364,0.033803727023057006,0.01318262272563934,0.0009699760731420648,40,0.07318876441278795,0.07357990085353233,0.49567416976482065,0.42806671571870664,0.014152598798781404,0.012212646652497276
insertion_sort,1000,sorted,0.4150047191099192,0.026377718517832903,0.011843240659196015,0.0007539159902307502,40,0.06356004474938617,0.06365791356653308,0.4413824376277521,0.3886270005920863,0.012597156649426766,0.011089324668965264
insertion_sort,1000,unsorted,0.44530210283901317,0.040478541130256736,0.012708719693925558,0.0011555196776806011,40,0.09090130244655649,0.09092337430598221,0.4857806439692699,0.40482356170875644,0.01386423937160616,0.011553200016244956
insertion_sort,10000,almost_sorted,52.33401666106213,8.834757371690415,1.4961820497749827,0.25368018394111114,40,0.16881481558941194,0.16955168255043776,61.168774032752545,43.499259289371714,1.7498622337160938,1.2425018658338716
insertion_sort,10000,reverse_sorted,56.15263912624964,5.5152057013599505,1.605445949300001,0.15890493435991596,40,0.09821810314133145,0.09897868840069074,61.66784482760959,50.637433424889686,1.764350883659917,1.446541014940085
insertion_sort,10000,sorted,51.6498895492496,5.558121489690923,1.476326621074989,0.16023230151927484,40,0.10761148839226656,0.10853445249304079,57.208011038940526,46.091768059558675,1.6365589225942638,1.3160943195557142
insertion_sort,10000,unsorted,54.61711049512441,11.717080893063978,1.5615013014250152,0.33647828169578203,40,0.21453132153723045,0.21548383045772315,66.33419138818839,42.90002960206043,1.8979795831207973,1.225023019729233
merge_sort,1000,almost_sorted,0.03824570612439836,0.002681775408049997,0.0010915673217780975,7.673090088127066e-05,40,0.07011964687819407,0.07029424511928466,0.04092748153244835,0.03556393071634836,0.0011682982226593683,0.0010148364208968268
merge_sort,1000,reverse_sorted,0.034609211002022515,0.003075823827581032,0.0009877571450300176,8.801989295714152e-05,40,0.08887298318939675,0.08911086434557416,0.037685034829603545,0.031533387174441485,0.0010757770379871592,0.0008997372520728761
merge_sort,1000,sorted,0.03383595044286393,0.002113137905031171,0.0009659654556479699,6.0572138012630243e-05,40,0.062452447097635345,0.0627063190080627,0.0359490883478951,0.03172281253783276,0.0010265375936606002,0.0009053933176353397
merge_sort,1000,unsorted,0.04675970590991012,0.0036142929779496877,0.001334549881774745,0.00010299329618694023,40,0.07729503228513002,0.07717455719974668,0.0503739988878598,0.043145412931960433,0.0014375431779616852,0.0012315565855878048
merge_sort,10000,almost_sorted,0.5013308338937028,0.0324479421087253,0.014307440448196462,0.000928727770315766,40,0.06472361146572772,0.06491222337625299,0.5337787760024281,0.4688828917849775,0.015236168218512229,0.013378712677880695
merge_sort,10000,reverse_sorted,0.4220208413324237,0.03189588703039975,0.012045240534820112,0.0009142586171488054,40,0.07557893806783708,0.0759020639318814,0.45391672836282343,0.39012495430202393,0.012959499151968918,0.011130981917671307
merge_sort,10000,sorted,0.406709954390014,0.02871508755752648,0.011610323121471703,0.000823306949570059,40,0.07060335565327762,0.07091163105077286,0.4354250419475405,0.3779948668324875,0.012433630071041762,0.010787016171901644
merge_sort,10000,unsorted,0.5935432075182586,0.037257507012362245,0.0169387387267353,0.0010656558745995165,40,0.0627713476296772,0.06291235090116457,0.6308007145306209,0.5562857005058963,0.018004394601334815,0.015873082852135782
quick_sort,1000,almost_sorted,0.032720263098528116,0.0022715472750601128,0.000933927195488415,6.496296411779132e-05,40,0.06942325824887073,0.06955891683164628,0.03499181037358823,0.030448715823468003,0.0009988901596062064,0.0008689642313706237
quick_sort,1000,reverse_sorted,0.031709663185042994,0.002403935465602311,0.0009052041528527074,6.892179213544484e-05,40,0.07581081677134349,0.07613950059579502,0.0341135986506453,0.029305727719440684,0.0009741259449881522,0.0008362823607172626
quick_sort,1000,sorted,0.031350623918068275,0.0029909734892425103,0.0008948109773884575,8.558909176287457e-05,40,0.09540395422621001,0.09565047135728022,0.034341597407310784,0.028359650428825767,0.000980400069151332,0.0008092218856255829
quick_sort,1000,unsorted,0.04596239311603954,0.0035705124618099697,0.00131192808665384,0.00010245183475554603,40,0.07768334544277601,0.07809256909565543,0.04953290557784951,0.04239188065422957,0.0014143799214093862,0.001209476251898294
quick_sort,10000,almost_sorted,0.4027883622252527,0.030987380589490597,0.01149685833322755,0.000884067665148712,40,0.07693216461939736,0.07689645636439923,0.4337757428147433,0.37180098163576214,0.012380925998376263,0.010612790668078837
quick_sort,10000,reverse_sorted,0.4054562295881274,0.03371962985824144,0.011573284121345447,0.0009658648512103837,40,0.08316466093638439,0.08345641920506981,0.43917585944636883,0.37173659972988593,0.012539148972555831,0.010607419270135063
quick_sort,10000,sorted,0.39515170733219035,0.026383979895992834,0.011279450621342403,0.0007563753566512314,40,0.06676924180366184,0.06705781886398407,0.4215356872281832,0.3687677274361975,0.012035825977993634,0.010523075264691172
quick_sort,10000,unsorted,0.5618383727216365,0.05074278318085044,0.016037629395281257,0.0014528052119979322,40,0.09031562393121022,0.09058727921630302,0.612581155902487,0.511095589540786,0.017490434607279188,0.014584824183283324
tim_sort,1000,almost_sorted,0.0005064830935568252,5.82403295204609e-05,1.4454596380161514e-05,1.6629513811870066e-06,40,0.11498968131682875,0.1150465455728225,0.0005647234230772861,0.0004482427640363643,1.611754776134852e-05,1.2791644998974507e-05
tim_sort,1000,reverse_sorted,0.00028381785385671223,3.498680402814712e-05,8.10049413950323e-06,9.986595435999424e-07,40,0.12327203363961203,0.12328378076713059,0.00031880465788485933,0.00024883104982856513,9.099153683103172e-06,7.1018345959032875e-06
tim_sort,1000,sorted,0.00025772966231014363,2.2209612368307298e-05,7.3565187481235605e-06,6.354202767324544e-07,40,0.08617406382033342,0.08637513183726095,0.00027993927467845093,0.00023552004994183633,7.991939024856015e-06,6.721098471391106e-06
tim_sort,1000,unsorted,0.0023751389292856013,0.0001732426930893353,6.779326423255971e-05,4.94540186496931e-06,40,0.07294002508789814,0.0729482776932599,0.0025483816223749365,0.002201896236196266,7.273866609752902e-05,6.28478623675904e-05
tim_sort,10000,almost_sorted,0.005776111449290045,0.00045121037309581695,0.00016484815793248249,1.2909751055980867e-05,40,0.07811663210744943,0.07831298340178218,0.006227321822385862,0.005324901076194228,0.00017775790898846334,0.00015193840687650163
tim_sort,10000,reverse_sorted,0.004134727072448958,0.00033791489042117373,0.00011800110066805498,9.673084506904267e-06,40,0.0817260449118423,0.08197452779796778,0.004472641962870131,0.003796812182027784,0.00012767418517495925,0.00010832801616115072
tim_sort,10000,sorted,0.00317668879321293,0.0002715307747089252,9.06596263503844e-05,7.750955426812815e-06,40,0.0854760388518564,0.08549511771487629,0.003448219567921855,0.0029051580185040045,9.841058177719722e-05,8.290867092357158e-05
tim_sort,10000,unsorted,0.04343513872179559,0.003087056214861315,0.0012394710239276975,8.805097206201514e-05,40,0.07107278359657321,0.07103915328572574,0.0465221949366569,0.04034808250693427,0.0013275219959897127,0.0011514200518656823
